Removed Pin From Net: NetName=STATE1 Pin=U3-8
Removed Pin From Net: NetName=STATE2 Pin=U3-9
Removed Pin From Net: NetName=STATE3 Pin=U3-10
Removed Pin From Net: NetName=STATE4 Pin=U3-11
Removed Pin From Net: NetName=STATE5 Pin=U3-24
Removed Pin From Net: NetName=7SEG D1 Pin=U3-29
Removed Pin From Net: NetName=7SEG D0 Pin=U3-30
Removed Pin From Net: NetName=7SEG LT Pin=U3-33
Removed Pin From Net: NetName=7SEG D3 Pin=U3-61
Removed Pin From Net: NetName=7SEG D2 Pin=U3-62
Added Pin To Net: NetName=7SEG D0 Pin=U3-39
Added Pin To Net: NetName=7SEG D1 Pin=U3-40
Added Pin To Net: NetName=7SEG LT Pin=U3-41
Added Pin To Net: NetName=7SEG D3 Pin=U3-42
Added Pin To Net: NetName=7SEG D2 Pin=U3-43
